"","code_insee","commune","code_region","region","code_departement","departement","pop_total","pop_unemployment","pop_executive","pop_employment","pop_worker","pop_no_degree","pop_degree","unemployment","farming","executive","employment","worker","student","no_degree","degree","rent","maison","home","caneva"
"1579","34154","Mauguio","76","Occitanie","34","Hérault",16735,944.885503373413,1411.62054899661,2067.72677397034,965.1138409668,2130.16228013136,1510.13054978225,12.7289806853643,0.764564032379807,19.0165799338549,27.8552841317935,13.0014857852986,56.3219439892761,16.5955626879838,11.7650502216222,36.7570925902569,58.2210811462395,41.537639294446,"sud"
"1580","34155","Maureilhan","76","Occitanie","34","Hérault",2177,105.968403074295,92.9547395388556,250.97779675491,227.739111870196,293.736976942784,101.320666097353,10.6941838649155,2.3452157598499,9.38086303939961,25.3283302063789,22.983114446529,46.7213114754098,18.2237600922722,6.28604382929643,19.4831013916501,92.7435387673957,7.25646123260438,"sud"
"1581","34157","Mèze","76","Occitanie","34","Hérault",12012,904.186259157833,488.901706441112,1475.11709129449,1015.8854288783,2374.4153683405,463.953222519959,18.7040030047518,4.61172253968854,10.1134239695481,30.5142820171046,21.0146127767095,34.5418099747376,25.5293327452951,4.98835054468256,37.8628548531388,65.8285594499405,33.8452189215009,"sud"
"1582","34159","Mireval","76","Occitanie","34","Hérault",3282,176.875528286451,244.000935346063,464.661423951946,299.540767869661,495.034663284872,157.882098544112,11.3816268295136,0.642786540349112,15.7010278305068,29.9001392715364,19.2749176392402,51.567078085529,19.8470217121378,6.32983843387886,22.3816307487739,84.8438370844689,14.6466966457021,"sud"
"1583","34161","Montady","76","Occitanie","34","Hérault",3939.00000000001,283.289448316617,150.819616656335,648.462158096661,375.349100627779,634.947114145699,117.178393890343,16.5708823419273,0.890370138147152,8.82212216980803,37.9314873493004,21.9558681786819,41.956840892183,21.325774742026,3.93563491677581,19.2005962566176,94.5620641565399,5.30573587325506,"sud"
"1584","34162","Montagnac","76","Occitanie","34","Hérault",4329.99999999999,303.937288977273,150.448113207617,666.986635220434,436.299528302089,898.076295814163,177.450845803519,18.5564032925733,1.83707360994196,9.18536804970981,40.7217983537134,26.6375673441584,36.0641127700507,28.2325006255226,5.57845824291085,31.9217140213022,79.5332447837259,19.8697389698592,"sud"
"1585","34163","Montarnaud","76","Occitanie","34","Hérault",3904,231.966379022402,347.389334443596,552.817493185976,249.468961694469,296.957547255476,304.824007873232,12.0750408808123,1.34964922306778,18.0833982607432,28.77698853593,12.9861401624224,54.515851952572,11.3816617172249,11.6831640514496,22.0546363215155,84.973469485498,14.4510573863047,"sud"
"1586","34165","Montbazin","76","Occitanie","34","Hérault",2928,155,175,410,270,416,172,11.4985163204748,1.48367952522255,12.9821958456973,30.4154302670623,20.0296735905045,44.0191387559809,19.7812648597242,8.17879220161674,21.404399323181,79.7800338409476,19.2047377326565,"sud"
"1587","34166","Montblanc","76","Occitanie","34","Hérault",2863,187,140,295,205,512,115,16.0377358490566,4.71698113207547,12.0068610634648,25.3001715265866,17.5814751286449,33.7837837837838,23.400365630713,5.25594149908592,26.4705882352941,88.5714285714286,11.0924369747899,"sud"
"1588","34169","Montferrier-sur-Lez","76","Occitanie","34","Hérault",3840,159.891973849988,668.44652609137,290.628924387552,116.251569755021,208.567399636861,1033.37437040998,9.62349706874559,0.291537106229853,40.2321206597197,17.4922263737912,6.99689054951648,64.4537664026062,7.17916678385971,35.5701177089812,27.9300291545189,79.6501457725943,20.1749271137026,"sud"
"1589","34172","Montpellier","76","Occitanie","34","Hérault",290053,27407.9417513261,30084.1848656725,35914.9423591328,19289.7182106561,31220.9867394962,37886.0871424273,20.7115603167217,0.050336738209849,22.7339365749577,27.1401078450837,14.5768028054583,77.1895634936135,16.9924126510888,20.6199769350924,67.1368891634176,12.5119147157252,85.9045290619519,"sud"
"1590","34176","Mudaison","76","Occitanie","34","Hérault",2624,134,245,370,210,322,169,10.2368220015279,0.381970970206264,18.716577540107,28.2658517952636,16.0427807486631,41.0714285714286,16.8058455114823,8.82045929018789,25.4545454545455,83.1818181818182,16.6363636363636,"sud"
"1591","34178","Murviel-lès-Béziers","76","Occitanie","34","Hérault",3102.00000000001,232.986869094863,95.8464657807704,489.355631490164,343.026014315038,509.733064430103,170.630612193184,17.0192270105648,5.90559597737132,7.00139353612708,35.7464547834168,25.0573675282097,36.2192580499566,22.0441568035641,7.37917202777505,27.4857135727331,87.336551175923,12.3528408185911,"sud"
"1592","34183","Nissan-lez-Enserune","76","Occitanie","34","Hérault",4007,321.253710079495,65.2379924611101,615.567673166529,459.908271193635,723.651122437663,140.211255423543,18.7397404057753,1.76308464008512,3.805537508073,35.9080005472104,26.827897522195,38.2416650293606,23.6130570801645,4.57515545121379,28.3823943979282,84.9126844804916,13.7777995483391,"sud"
