"EMP2 - Emplois au lieu de travail par sexe, statut et secteur d'activité économique en 2020"
"France entière"
"© Insee"


"EMP2 - Secteur simplifié en 5 postes - Sexe : Ensemble"
"";"Salariés";"Non salariés";"Ensemble";
"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques";"497721";"106018";"603739";
"Recherche-développement scientifique";"82022";"1076";"83097";
"Autres activités spécialisées, scientifiques et techniques";"98297";"41542";"139839";
"Activités de services administratifs et de soutien";"641338";"34638";"675976";
"Administration publique";"1387983";"5821";"1393805";
"Enseignement";"1352250";"44343";"1396593";
"Activités pour la santé humaine";"1175534";"262217";"1437751";
"Hébergement médico-social et social et action sociale sans hébergement";"1662502";"13404";"1675906";
"Arts, spectacles et activités récréatives";"165523";"41578";"207102";
"Autres activités de services";"385026";"134318";"519344";
"Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"107444";"831";"108275";
"Activités extra-territoriales";"9299";"190";"9489";
"Ensemble";"11954788";"1180194";"13134982";

"Source : Insee, RP2020 exploitation complémentaire, géographie au 01/01/2023."
